id,source,status,detail
gallery:ev-thermal-management,gallery,success,
gallery:pressure-cooker,gallery,success,
gallery:pump-sizing,gallery,success,
gallery:projectile-motion,gallery,success,
gallery:heat-conduction,gallery,success,
gallery:ideal-gas,gallery,success,
gallery:dc-circuit,gallery,success,
gallery:rankine-cycle,gallery,success,
gallery:thermo-compliance,gallery,success,
gallery:state-tables-multifluid,gallery,success,
gallery:tank-draining,gallery,success,
gallery:newton-cooling,gallery,success,
gallery:projectile-trajectory,gallery,rejected,"There are 11 equations and 12 variables. The problem is underspecified and cannot be solved. Free quantity (no defining relation): x. Coupled to: t, time, v, vy, y. A common cause: an element chain with no constitutive law for that quantity — e.g. an efficiency-only machine or rigid pass-through between boundaries leaves its through-flow or a port pressure free; add an orifice/valve/flow-map element or pin a boundary value."
gallery:damped-oscillator,gallery,rejected,"There are 10 equations and 11 variables. The problem is underspecified and cannot be solved. Free quantity (no defining relation): x. Coupled to: env, t, time. A common cause: an element chain with no constitutive law for that quantity — e.g. an efficiency-only machine or rigid pass-through between boundaries leaves its through-flow or a port pressure free; add an orifice/valve/flow-map element or pin a boundary value."
gallery:karman-rocket,gallery,success,
gallery:newton-cooling-transient,gallery,success,
gallery:transient-heat-rod,gallery,success,
gallery:damped-oscillator-ode,gallery,success,
gallery:sounding-rocket-trajectory,gallery,success,
gallery:partial-fractions,gallery,success,
gallery:cruise-control,gallery,success,
gallery:multi-output-destructuring,gallery,success,
gallery:step-impulse-response,gallery,success,
gallery:controller-design-lqr-pid,gallery,success,
gallery:estimator-gramian-balreal,gallery,success,
gallery:control-analysis-report,gallery,success,
gallery:root-locus-analysis,gallery,success,
gallery:heisler-transient,gallery,success,
gallery:nichols-chart,gallery,success,
gallery:routh-stability,gallery,success,
gallery:inverse-laplace-residue,gallery,success,
gallery:digital-control-c2d,gallery,success,
gallery:radiation-view-factors,gallery,success,
gallery:material-conduction,gallery,success,
gallery:engine-map-2d,gallery,success,
gallery:multi-objective-beam,gallery,success,
gallery:driving-cycle-energy,gallery,rejected,"There are 12 equations and 13 variables. The problem is underspecified and cannot be solved. Free quantity (no defining relation): v. Coupled to: f_aero, p, t. A common cause: an element chain with no constitutive law for that quantity — e.g. an efficiency-only machine or rigid pass-through between boundaries leaves its through-flow or a port pressure free; add an orifice/valve/flow-map element or pin a boundary value."
gallery:rankine-cycle#2,gallery,success,
gallery:brayton-cycle,gallery,success,
gallery:otto-cycle,gallery,success,
gallery:refrigeration-vcr,gallery,success,
gallery:cd-nozzle-shock,gallery,success,
gallery:hx-effectiveness-ntu,gallery,success,
gallery:cubic-eos-properties,gallery,success,
