"id","title","source","category","location","featured","symbols"
"gallery:ev-thermal-management","EV Thermal Management System","gallery","Systems","web/src/examples.ts#ev-thermal-management","true","cond;dp_2phase;fin_efficiency;htc_1phase;htc_cond;htc_evap;htc_extair;hx_aconv;hx_area_direct;hx_area_indirect;hx_eta_surf;hx_fin_len;sqrt;ua_hx;LiquidMixer;LiquidOrifice;LiquidPump;LiquidSink;LiquidSource;LiquidWallHX;MassGen;Pump;ThermalSource;TwoPhaseCompressor;TwoPhaseCondenserFloat;TwoPhaseEvaporatorUA;TwoPhaseMixer;TwoPhasePressureSource;TwoPhaseSink"
"gallery:pressure-cooker","Pressure Cooker (transient)","gallery","Systems","web/src/examples.ts#pressure-cooker","true","BoilingVessel;Convection;Ground;HeatingResistor;ProportionalReliefValve;ThermalMass;TwoPhasePressureSink;VoltageSource"
"gallery:pump-sizing","Pump Sizing","gallery","Mechanical","web/src/examples.ts#pump-sizing","true",""
"gallery:projectile-motion","Projectile Motion","gallery","Mechanics","web/src/examples.ts#projectile-motion","true","cos;sin"
"gallery:heat-conduction","Heat Conduction","gallery","Heat Transfer","web/src/examples.ts#heat-conduction","true",""
"gallery:ideal-gas","Ideal Gas Law","gallery","Thermodynamics","web/src/examples.ts#ideal-gas","true",""
"gallery:dc-circuit","DC Circuit","gallery","Electrical","web/src/examples.ts#dc-circuit","true",""
"gallery:rankine-cycle","Rankine Cycle","gallery","Thermodynamics","web/src/examples.ts#rankine-cycle","true","enthalpy;entropy;volume"
"gallery:thermo-compliance","Real-Fluid Thermodynamics Compliance","gallery","Thermodynamics","web/src/examples.ts#thermo-compliance","false","stagnationpres;stagnationtemp;compressibilityfactor;volume"
"gallery:state-tables-multifluid","Multi-Fluid State Tables","gallery","Thermodynamics","web/src/examples.ts#state-tables-multifluid","false","enthalpy"
"gallery:tank-draining","Tank Draining (ODE)","gallery","Fluids","web/src/examples.ts#tank-draining","true","integral;sqrt"
"gallery:newton-cooling","Newton's Cooling (ODE)","gallery","Heat Transfer","web/src/examples.ts#newton-cooling","false","integral"
"gallery:projectile-trajectory","Projectile Trajectory (table)","gallery","Mechanics","web/src/examples.ts#projectile-trajectory","true","cos;sin;sqrt"
"gallery:damped-oscillator","Damped Oscillator (table)","gallery","Mechanics","web/src/examples.ts#damped-oscillator","false","cos;exp;sin;sqrt"
"gallery:karman-rocket","Sounding Rocket to the Kármán Line","gallery","Aerospace","web/src/examples.ts#karman-rocket","false","ln;sqrt"
"gallery:newton-cooling-transient","Newton Cooling (Transient)","gallery","Heat Transfer","web/src/examples.ts#newton-cooling-transient","false","finalvalue;maxvalue;odevalue;timeat"
"gallery:transient-heat-rod","Transient Heat Rod (method of lines)","gallery","Heat Transfer","web/src/examples.ts#transient-heat-rod","false","finalvalue;odevalue"
"gallery:damped-oscillator-ode","Damped Oscillator (2-state)","gallery","Mechanics","web/src/examples.ts#damped-oscillator-ode","false","finalvalue;odevalue"
"gallery:sounding-rocket-trajectory","Sounding Rocket Trajectory (loss-accurate)","gallery","Aerospace","web/src/examples.ts#sounding-rocket-trajectory","false","exp;finalvalue;if;maxvalue;odevalue"
"gallery:partial-fractions","Partial Fractions (Laplace)","gallery","Control Systems","web/src/examples.ts#partial-fractions","false","tf"
"gallery:cruise-control","Cruise Control System Design","gallery","Control Systems","web/src/examples.ts#cruise-control","true","bode;feedback;margin;nyquist;series;ss2tf;pole;zero"
"gallery:multi-output-destructuring","Multi-Output Functions (array-language-style)","gallery","Control Systems","web/src/examples.ts#multi-output-destructuring","false","bode;ss2tf;tf2ss"
"gallery:step-impulse-response","Step & Impulse Response","gallery","Control Systems","web/src/examples.ts#step-impulse-response","false","impulse;lsim;step;pole"
"gallery:controller-design-lqr-pid","Controller Design (LQR & PID)","gallery","Control Systems","web/src/examples.ts#controller-design-lqr-pid","false","lqr;pidtune;pole"
"gallery:estimator-gramian-balreal","Estimator, Gramians & Balanced Realization","gallery","Control Systems","web/src/examples.ts#estimator-gramian-balreal","false","balreal;gram;lqe"
"gallery:control-analysis-report","Control Analysis Report","gallery","Control Systems","web/src/examples.ts#control-analysis-report","false","bode;margin;nyquist;step;pole;zero"
"gallery:root-locus-analysis","Root Locus Analysis","gallery","Control Systems","web/src/examples.ts#root-locus-analysis","false","rlocus;pole;zero"
"gallery:heisler-transient","Transient Conduction (Heisler)","gallery","Heat Transfer","web/src/examples.ts#heisler-transient","false","heisler_q;heisler_temp"
"gallery:nichols-chart","Nichols Chart Presentation (Slide)","gallery","Control Systems","web/src/examples.ts#nichols-chart","false","nichols"
"gallery:routh-stability","Routh-Hurwitz Stability","gallery","Control Systems","web/src/examples.ts#routh-stability","false","routh"
"gallery:inverse-laplace-residue","Inverse Laplace (Residues)","gallery","Control Systems","web/src/examples.ts#inverse-laplace-residue","false","residue"
"gallery:digital-control-c2d","Digital Control: Discretization","gallery","Control Systems","web/src/examples.ts#digital-control-c2d","false","c2d"
"gallery:radiation-view-factors","Radiation View Factors","gallery","Heat Transfer","web/src/examples.ts#radiation-view-factors","true","viewfactor_disks;viewfactor_perp;viewfactor_plates"
"gallery:material-conduction","Conduction (Material Database)","gallery","Heat Transfer","web/src/examples.ts#material-conduction","false","k_"
"gallery:engine-map-2d","Engine Map (2-D Interpolation)","gallery","Powertrain","web/src/examples.ts#engine-map-2d","true","interpolate2d"
"gallery:multi-objective-beam","Multi-Objective Beam Design (Pareto)","gallery","Optimization","web/src/examples.ts#multi-objective-beam","true","rho_;E_"
"gallery:driving-cycle-energy","Driving-Cycle Energy (Parametric)","gallery","Powertrain","web/src/examples.ts#driving-cycle-energy","false","integralvalue;tableavg"
"gallery:rankine-cycle#2","Rankine Cycle","gallery","Thermodynamics","web/src/examples.ts#rankine-cycle","true","enthalpy;entropy;volume"
"gallery:brayton-cycle","Brayton Cycle","gallery","Thermodynamics","web/src/examples.ts#brayton-cycle","true",""
"gallery:otto-cycle","Otto Cycle","gallery","Thermodynamics","web/src/examples.ts#otto-cycle","false",""
"gallery:refrigeration-vcr","Refrigeration Cycle","gallery","Thermodynamics","web/src/examples.ts#refrigeration-vcr","true","enthalpy;entropy"
"gallery:cd-nozzle-shock","Nozzle with a Normal Shock","gallery","Aerospace","web/src/examples.ts#cd-nozzle-shock","true","m2_shock;mach_a_astar;p0_p;p02_p01_shock;p2_p1_shock;t0_t"
